Date,Track,RaceNumber,Horse,Jockey,Trainer,SP,Bet,Profit
2023-02-08,EAGLE FARM,6,WONDERFUL RAYRAY,BEN THOMPSON,STEVEN O'DEA & MATTHEW HOYSTED,4.0,10,30.0
2023-02-09,WAGGA,7,JACK'S ALL MAGIC,BILLY OWEN,KYM DAVISON,7.5,10,-10.0
2023-02-10,ROCKHAMPTON,3,ARCTIC SUMMER,RYAN WIGGINS,JARED WEHLOW,2.8,10,18.0
2023-02-11,SANDOWN,7,MR BRIGHTSIDE,CRAIG WILLIAMS,BEN & JD HAYES,9.5,10,-10.0
2023-02-11,RANDWICK,8,ANAMOE,JAMES MCDONALD,JAMES CUMMINGS,1.7,10,7.0
2023-02-12,SUNSHINE COAST,4,GLAMBORGINI,BAILEY WHEELER,CHRIS ANDERSON,5.0,10,-10.0
2023-02-14,MACKAY,2,AGE OF INNOCENCE,BROOKE JOHNSON,NICK WALSH,1.28,10,2.8000000000000007
2023-02-14,MACKAY,4,ROVERS PEPPER,JUSTIN STANLEY,CLINTON TAYLOR,1.33,10,3.3000000000000007
2023-02-15,ASCOT,6,MAJOR MAX,TROY TURNER,RHYS RADFORD,3.7,10,27.0
2023-02-16,PAKENHAM,6,EL SOLEADO,CRAIG WILLIAMS,ROBBIE LAING,5.0,10,-10.0
2023-02-17,QUIRINDI,4,NOSEY PARKER,CLAYTON GALLAGHER,PAUL PERRY,1.75,10,-10.0
2023-02-18,COONABARABRAN,4,ADAM'S FIRST PICK,JAKE BARRETT,BRETT ROBB,5.5,10,45.0
2023-02-19,TAREE,3,GRIPPING,AARON BULLOCK,KRIS LEES,5.0,10,-10.0
2023-02-19,SHA TIN,7,PING HAI GALAXY,Z PURTON,J SIZE,10.0,10,-10.0
2023-02-20,WARRNAMBOOL,5,TOROBEEL MURIEL,DEAN HOLLAND,SYMON WILDE,9.0,10,80.0
2023-02-21,TOWNSVILLE,1,ROWEINER'S DANCE,ISABELLA TEH,BILL KENNING,10.0,10,-10.0
2023-02-21,WYONG,5,VEGAS OUTLAW,MADELINE OWEN,SARA RYAN,23.0,10,-10.0
2023-02-22,WARWICK FARM,4,EAU DE VIE,JAMES MCDONALD,RICHARD & WILL FREEDMAN,2.8,10,-10.0
2023-02-22,EAGLE FARM,7,BORN A WARRIOR,JAMES ORMAN,RENITA BEATON,3.9,10,29.0
2023-02-23,PAKENHAM,1,TORONTO TERRIER,BLAKE SHINN,MICHAEL MORONEY,6.0,10,50.0
2023-02-25,TOOWOOMBA,2,LUCASAYD,ANTHONY ALLEN,MARK CURRIE,2.3,10,13.0
2023-02-26,SHA TIN,3,BEAUTY ETERNAL,Z PURTON,J SIZE,10.0,10,90.0
2023-02-26,SHA TIN,4,BRAVE DREAMS,Z PURTON,A S CRUZ,10.0,10,90.0
2023-03-01,ASCOT,4,EXCELESTIAL,CHRIS PARNHAM,ROBERT WITTEN,7.0,10,60.0
2023-03-01,ASCOT,4,MAJOR MAX,TROY TURNER,RHYS RADFORD,2.4,10,-10.0
2023-03-03,NEWCASTLE,4,INVINCIBLE LEGEND,BROCK RYAN,LES BRIDGE,10.0,10,-10.0
2023-03-04,HAWKESBURY,1,SHADOWS OF LOVE,KEAGAN LATHAM,KIM WAUGH,10.0,10,90.0
2023-03-04,DALBY,2,NACHO NACHO MAN,JAKE MOLLOY,JACK BRUCE,3.1,10,21.0
2023-03-07,TAREE,1,GRIPPING,AARON BULLOCK,KRIS LEES,10.0,10,-10.0
2023-03-07,BALLARAT,3,QUEEN TA VISTA,JORDAN CHILDS,GAI WATERHOUSE & ADRIAN BOTT,10.0,10,90.0
2023-03-08,PINJARRA,2,DEAMBER,TROY TURNER,STEPHANIE BAKRANICH,2.4,10,-10.0
2023-03-08,PINJARRA,4,BARACAP,JOSEPH AZZOPARDI,DAVID HARRISON,15.0,10,-10.0
2023-03-10,KEMBLA GRANGE,5,MIKASA,KEAGAN LATHAM,JOHN THOMPSON,10.0,10,-10.0
2023-03-11,GOSFORD,2,TOMISLAVA,JEFF PENZA,ANTHONY CUMMINGS,10.0,10,90.0
2023-03-11,EDENHOPE,7,CATSKILL MOUNTAIN,JACOB OPPERMAN,ANDREW BOBBIN,10.0,10,90.0
2023-03-12,ASCOT,1,NOTEWORTHY,WILLIAM PIKE,MICHAEL GRANTHAM,10.0,10,90.0
2023-03-17,SALE,2,LAZY SUSAN,BEAU MERTENS,CIARON MAHER & DAVID EUSTACE,10.0,10,-10.0
2023-03-18,ROCKHAMPTON,2,AGE OF INNOCENCE,TAHLIA FENLON,NICK WALSH,10.0,10,90.0
2023-03-18,MORPHETTVILLE,4,FIORADA LAD,SAMUEL PAYNE,SUE & JASON JAENSCH,10.0,10,90.0
2023-03-18,ROSEHILL,7,ANAMOE,JAMES MCDONALD,JAMES CUMMINGS,10.0,10,90.0
2023-03-20,COFFS HARBOUR,1,CAROLINE BAY,SEAN CORMACK,KRIS LEES,10.0,10,90.0
2023-03-21,NEWCASTLE,1,SNIZZI,AARON BULLOCK,PAUL MESSARA,10.0,10,-10.0
2023-03-22,SANDOWN,2,STERN IDOL,JOHN ALLEN,CIARON MAHER & DAVID EUSTACE,10.0,10,90.0
2023-03-25,WYONG,4,VEGAS OUTLAW,KEAGAN LATHAM,SARA RYAN,10.0,10,90.0
2023-03-30,PAKENHAM,3,AFFAIRE A SUIVRE,BEN ALLEN,CIARON MAHER & DAVID EUSTACE,10.0,10,-10.0
2023-03-30,PAKENHAM,6,GLOBE,BEN MELHAM,MICK PRICE & MICHAEL KENT (JNR),10.0,10,90.0
2023-03-31,ALBANY,1,ANTIQUE MISS,BRAYDEN GAERTH,MICHAEL GRANTHAM,10.0,10,-10.0
2023-04-01,HAWKESBURY,3,VANCOUVER'S GEM,GRANT BUCKLEY,BRAD WIDDUP,10.0,10,90.0
2023-04-08,OAKBANK,1,STORYTELLER,BEN PRICE,MICHAEL HICKMOTT,9.0,10,80.0
2023-04-08,NEWCASTLE,3,INVINCIBLE LEGEND,ANDREW GIBBONS,LES BRIDGE,2.4,10,14.0
2023-04-08,NEWCASTLE,6,SMOKIN' CRAZY,AARON BULLOCK,PAUL MESSARA,4.6,10,36.0
2023-04-11,MACKAY,4,DEEP BREATH,RYAN WIGGINS,NICK WALSH,1.2,10,2.0
2023-04-13,ROCKHAMPTON,5,FAMUS FELLA,JUSTIN STANLEY,CRAIG SMITH,13.0,10,-10.0
2023-04-13,ROCKHAMPTON,7,PATROLLING,RYAN WIGGINS,RICKY VALE,2.9,10,-10.0
2023-04-14,DARWIN,5,SWEET CHEVAL,SONJA WISEMAN,JO BANKS,2.8,10,-10.0
2023-04-15,WERRIBEE,3,STAROSHKA,LACHLAN KING,P & P SNOWDEN,2.6,10,-10.0
2023-04-15,GOLD COAST,3,JAMAICAN RUMBA,NOEL CALLOW,A J & T EDMONDS,1.45,10,4.5
2023-04-16,PAKENHAM,6,STERN IDOL,STEVEN PATEMAN,CIARON MAHER & DAVID EUSTACE,1.3,10,3.0
2023-04-18,GEELONG,1,CALL THE UNION,WILL GORDON,TREVOR ROGERS,3.5,10,25.0
2023-04-21,TAMWORTH,2,BURLING,KOBY JENNINGS,CODY MORGAN,21.0,10,200.0
2023-04-21,CAIRNS,6,LORD OF LIGHT,FRANK EDWARDS,RICKY LUDWIG,7.5,10,65.0
2023-04-22,GOLD COAST,7,SPILL THE DIAMONDS,JAG GUTHMANN-CHEST,S J MORRISEY,7.5,10,-10.0
2023-04-22,NEWCASTLE,7,CAPITAL MAC,AARON BULLOCK,GREGORY HICKMAN,3.9,10,-10.0
2023-04-22,DOOMBEN,7,COTTEE,ANGELA JONES,MARK CURRIE,7.5,10,-10.0
2023-04-30,SHA TIN,2,BEAUTY DESTINY,Z PURTON,F C LOR,10.0,10,-10.0
2023-04-30,SHA TIN,10,BEAUTY ETERNAL,Z PURTON,J SIZE,10.0,10,90.0
2023-05-04,PINJARRA,8,BARACAP,JOSEPH AZZOPARDI,DAVID HARRISON,19.0,10,180.0
2023-05-07,SHA TIN,7,GOLDEN EXPRESS,Z PURTON,J SIZE,10.0,10,90.0
2023-05-09,MACKAY,5,PATROLLING,RYAN WIGGINS,RICKY VALE,2.7,10,17.0
2023-05-10,SHA TIN,4,GALLANT HERO,Z PURTON,D J HALL,10.0,10,90.0
2023-05-20,GOLD COAST,2,HIGHER,JAI WILLIAMS,GREGORY BOOTH,3.6,10,26.0
2023-05-20,NEWCASTLE,5,TIME QUEST,MITCHELL BELL,MATTHEW SMITH,6.5,10,55.0
2023-05-21,KALGOORLIE,3,TALK IT UP,BRAYDEN GAERTH,PETER FERNIE,4.0,10,-10.0
2023-05-23,MORNINGTON,4,BURNT ORANGE,JORDAN CHILDS,GAI WATERHOUSE & ADRIAN BOTT,2.3,10,13.0
2023-05-24,BELMONT,1,ANTIQUE MISS,WILLIAM PIKE,MICHAEL GRANTHAM,1.5,10,-10.0
2023-05-25,KILMORE,3,TRIPLES,ZAC SPAIN,JAMES CUMMINGS,3.9,10,29.0
2023-05-25,GOSFORD,6,OZZMOSIS,JAMES MCDONALD,BJORN BAKER,1.4,10,4.0
2023-05-27,KEMBLA GRANGE,1,ZIP ON BY,KOBY JENNINGS,LES BRIDGE,4.6,10,36.0
2023-05-27,KEMBLA GRANGE,3,STYLISH PEDRILLE,JEAN VAN OVERMEIRE,RON QUINTON,1.65,10,6.5
2023-05-27,DARWIN,5,STARSPANGLEDANCER,JARROD TODD,GARY CLARKE,2.2,10,-10.0
2023-05-27,TOOWOOMBA,7,MATILLY,JUSTIN STANLEY,PAUL WALLACE,1.25,10,2.5
2023-05-27,TOOWOOMBA,7,MATILLY,JUSTIN STANLEY,PAUL WALLACE,1.25,10,2.5
2023-05-30,NEWCASTLE,1,ICONIC STORY,AARON BULLOCK,BRETT PARTELLE,3.5,10,25.0
2023-06-04,PINJARRA,4,SECRET ATTRACTION,WILLIAM PIKE,ADAM DURRANT,2.7,10,-10.0
2023-06-09,CARNARVON,5,BIG BLOWS,ROSIE MAHONY,MICHELLE HAGLEY,7.0,10,60.0
2023-06-10,GOLD COAST,1,WHO INVITED HER,BAILEY WHEELER,C MAHER & D EUSTACE,1.65,10,6.5
2023-06-10,SHA TIN,2,BEAUTY DESTINY,Z PURTON,F C LOR,10.0,10,-10.0
2023-06-10,RANDWICK,4,PARTICIPATOR,DANNY BEASLEY,TIM DONNELLY,13.0,10,-10.0
2023-06-10,SANDOWN,8,PACIFIC RUBY,MATTHEW CARTWRIGHT,CIARON MAHER & DAVID EUSTACE,4.0,10,30.0
2023-06-12,CAIRNS,2,BLOOMIN' RIPPER,LACEY MORRISON,SHARLEE D'AVILA,1.7,10,-10.0
2023-06-13,SCONE,1,FILL A PROMISE,MIKAYLA WEIR,NIKKI POLLOCK,15.0,10,-10.0
2023-06-15,WYONG,3,COUNTER MOVE,KOBY JENNINGS,NATHAN DOYLE,1.8,10,-10.0
2023-06-18,SHA TIN,1,KA YING VICTORY,Z PURTON,D J HALL,10.0,10,90.0
2023-06-18,SHA TIN,3,SUNLIGHT POWER,Z PURTON,P F YIU,10.0,10,-10.0
2023-06-21,DOOMBEN,2,JOHN RAMBO,RYAN MALONEY,TONY GOLLAN,3.2,10,-10.0
2023-06-29,KILCOY,8,SECRET MEMO,EMILY LANG,STEVEN O'DEA & MATTHEW HOYSTED,2.4,10,14.0
2023-07-02,SINGAPORE,3,FADABOY,S JAMIL,D LOGAN,6.0,10,50.0
2023-07-02,SINGAPORE,6,DELILAH,R STEWART,L KHOO,2.9,10,19.0
2023-07-03,MUSWELLBROOK,5,A SHOOTING DUCK,AARON BULLOCK,CODY MORGAN,1.75,10,7.5
2023-07-05,EAGLE FARM,2,JOHN RAMBO,RYAN MALONEY,TONY GOLLAN,1.28,10,2.8000000000000007
2023-07-05,SANDOWN,3,BURNT ORANGE,BEN MELHAM,GAI WATERHOUSE & ADRIAN BOTT,8.0,10,-10.0
2023-07-06,PINJARRA,1,SUPER ROMANI,WILLIAM PIKE,DANIEL & BEN PEARCE,1.25,10,2.5
2023-07-06,WARWICK,7,MISS CINNAMONCIDER,EMILY LANG,PAT WEBSTER,3.9,10,-10.0
2023-07-08,CAULFIELD,8,SIGH,CARLEEN HEFEL,PETER G MOODY,7.0,10,60.0
2023-07-17,GOULBURN,4,SPEED OF LIGHT,JEAN VAN OVERMEIRE,MARK GEE,3.1,10,21.0
2023-07-19,IPSWICH,5,SHEEZASINGA,JAKE MOLLOY,CAITLIN JOHNSTONE,9.0,10,-10.0
2023-07-21,CARNARVON,3,MAJOR IMPACT,NATASHA FAITHFULL,COLIN HADDON,7.5,10,65.0
2023-07-25,NEWCASTLE,3,PLUSSEY,JENNY DUGGAN,JAKE HULL,101.0,10,1000.0
2023-07-25,PAKENHAM,7,DIESEL 'N' DUST,DAKOTAH KEANE,JASON WARREN,2.9,10,19.0
2023-07-29,TOOWOOMBA,2,HOT OR NOT,ALISHA DONALD,PAT WEBSTER,7.5,10,65.0
2023-07-29,NEWCASTLE,4,NIGHTINGALE,JEAN VAN OVERMEIRE,JAMES CUMMINGS,2.5,10,15.0
2023-07-29,NEWCASTLE,4,NIGHTINGALE,JEAN VAN OVERMEIRE,JAMES CUMMINGS,2.5,10,15.0
2023-07-30,MUSWELLBROOK,3,BULLBARROW,AARON BULLOCK,MATTHEW SMITH,1.45,10,4.5
2023-08-05,GOLD COAST,2,HADOUKEN,JAG GUTHMANN-CHEST,GABRIELLE ELLIS,1.75,10,7.5
2023-08-05,KEMBLA GRANGE,3,PUSHY,RORY HUTCHINGS,MICHAEL FREEDMAN,3.8,10,28.0
2023-08-05,KEMBLA GRANGE,3,PUSHY,RORY HUTCHINGS,MICHAEL FREEDMAN,3.8,10,28.0
2023-08-07,GOULBURN,1,OUR MARYANNE,DANNY BEASLEY,CLARRY CONNERS,4.0,10,-10.0
2023-08-19,TOOWOOMBA,1,THE RIGHT WAY,ALISHA DONALD,GREG WRIGHT,26.0,10,250.0
2023-08-19,KATHERINE,3,LORD FENRIR,EMMA LINES,PHILIP COLE,1.75,10,-10.0
2023-08-19,GOLD COAST,4,IN MOTION,EMILY LANG,LANE SHARROCK,12.0,10,110.0
2023-08-23,SUNSHINE COAST,2,GOLD PRINCE,MICHAEL CAHILL,PATRICK BUSUTTIN,151.0,10,-10.0
2023-08-25,BEAUDESERT,2,BACK 'EM BLACK,NATHAN FAZACKERLEY,REBECCA MOLLICA,18.0,10,-10.0
2023-08-26,TOOWOOMBA,6,VERGE,EMILY LANG,MARK CURRIE,2.5,10,15.0
2023-08-29,DONALD,7,SOUTHERN GALE,SARAH FIELD,PATRICK KEARNEY,18.0,10,-10.0
2023-08-30,DOOMBEN,1,POWER FLASH,ANGELA JONES,TONY GOLLAN,6.5,10,-10.0
2023-09-10,DUBBO,6,SKYFORGER,RONALD SIMPSON,CLINT LUNDHOLM,3.7,10,-10.0
2023-09-13,BELMONT,1,TWAIN'S ANGEL,MADI DERRICK,SEAN & JAKE CASEY,10.0,10,-10.0
2023-09-14,KEMBLA GRANGE,3,RIFF ROCKET,KERRIN MCEVOY,CHRIS WALLER,5.5,10,45.0
2023-09-23,LONGREACH,5,BURDEN,EMMA BELL,CLINTON AUSTIN,5.5,10,45.0
2023-09-27,ROSEHILL,4,RIFF ROCKET,JASON COLLETT,CHRIS WALLER,2.6,10,-10.0
2023-09-30,MACKAY,2,AMRAP,JUSTIN STANLEY,CLINTON TAYLOR,1.6,10,6.0
2023-10-03,EMERALD,7,CRAIG AND HOFF,NIKKI OLZARD,CRAIG SMITH,5.0,10,40.0
2023-10-04,KALGOORLIE,2,PATRIOTISM,KESHAW DHURUN,PATRICK BERMINGHAM,19.0,10,-10.0
2023-10-08,ROCKHAMPTON,2,QUEEN ASSASSIN,JUSTIN STANLEY,NICK WALSH,1.55,10,5.5
2023-10-08,NORTHAM,3,THE BOSS LADY,CHRIS PARNHAM,MICHAEL LANE,1.95,10,9.5
2023-10-10,BARCALDINE,2,TELL THE WORLD,NIKKI OLZARD,DAVID REWALD,2.8,10,18.0
2023-10-13,CLONCURRY,7,SCARPA,DAN BALLARD,DENISE BALLARD,4.2,10,32.0
2023-10-15,BALLARAT,4,EIGHT MARTINIS,LINDA MEECH,CIARON MAHER & DAVID EUSTACE,8.5,10,-10.0
2023-10-21,WODONGA,1,DALHARRY,DANNY BEASLEY,CRAIG WIDDISON,6.0,10,50.0
2023-10-21,KEMBLA GRANGE,1,AETHELFLAED,GRANT BUCKLEY,MATTHEW SMITH,9.0,10,80.0
2023-10-21,CAULFIELD,2,RIFF ROCKET,JAMES MCDONALD,CHRIS WALLER,1.28,10,-10.0
2023-10-21,TURFFONTEIN,2,WITBLITS,J GATES,A PETER,2.3,10,13.0
2023-10-21,KEMBLA GRANGE,5,WRITTEN SILK,BRANDON LERENA,GERALD RYAN & STERLING ALEXIOU,2.9,10,19.0
2023-10-27,ROCKHAMPTON,4,DEVIL DEVIL,ASHLEY BUTLER,CLINTON TAYLOR,3.9,10,-10.0
2023-10-28,KEMBLA GRANGE,4,HEADS YOU LOSE,MITCHELL BELL,CHRIS WALLER,11.0,10,100.0
2023-10-28,MOONEE VALLEY,5,PROWESS,MARK ZAHRA,ROGER JAMES & ROBERT WELLWOOD,4.6,10,36.0
2023-10-28,MOONEE VALLEY,9,MR BRIGHTSIDE,CRAIG WILLIAMS,"BEN, WILL & JD HAYES",9.0,10,-10.0
2023-10-28,MOONEE VALLEY,10,SCHWARZ,JAMES MCDONALD,JOHN O'SHEA,4.2,10,-10.0
2023-11-02,GOSFORD,2,UNQUESTIONABLY,JASON COLLETT,CIARON MAHER & DAVID EUSTACE,3.8,10,28.0
2023-11-10,ALBURY,1,FIRST PLATOON,JASON LYON,ROB WELLINGTON,2.9,10,19.0
2023-11-11,WYONG,2,PRIMA BELLA,ASHLEY MORGAN,MATTHEW SMITH,2.1,10,11.0
2023-11-12,NARACOORTE,2,BATTLE ROYALE,JACOB OPPERMAN,AARON BAIN & NED TAYLOR,2.4,10,14.0
2023-11-22,WARWICK FARM,2,HEADS YOU LOSE,JAMES MCDONALD,CHRIS WALLER,2.6,10,16.0
2023-11-25,TOOWOOMBA,6,MAKIN' STATEMENTS,ALISHA DONALD,MATT KROPP,8.0,10,-10.0
2023-12-02,ROSEHILL,1,STORM BOY,TIM CLARK,GAI WATERHOUSE & ADRIAN BOTT,1.85,10,8.5
2023-12-02,NEWCASTLE,3,GOLD PATTERN,KEAGAN LATHAM,JOHN THOMPSON,2.5,10,15.0
2023-12-02,ALICE SPRINGS,3,SKILTON,IANISH LUXIMON,KEVIN LAMPRECHT,10.0,10,90.0
2023-12-03,SUNSHINE COAST,4,MILTON ROAD,BRODIE LOY,MATTHEW DUNN,11.0,10,-10.0
2023-12-07,GOSFORD,2,LADY EXTREME,JAY FORD,BLAKE RYAN,5.5,10,45.0
2023-12-08,CANTERBURY,6,KAREDADA,NASH RAWILLER,ANGELA DAVIES,3.4,10,24.0
2023-12-08,SCONE,6,PIGGYBACK,ASHLEY MORGAN,CIARON MAHER & DAVID EUSTACE,10.0,10,-10.0
2023-12-09,ASCOT,1,SINFUL LIVING,WILLIAM PIKE,DANIEL & BEN PEARCE,5.0,10,-10.0
2023-12-13,PINJARRA,1,OBJECTIFY,BRAD PARNHAM,DANIEL MORTON,2.4,10,14.0
2024-01-01,SHA TIN,9,WUNDERBAR,JAMES MCDONALD,JOHN SIZE,10.0,10,90.0
2024-01-02,ROCKHAMPTON,1,POTESTAS,RAUL SILVERA OLIVE,MICHAEL & CHRISTINE DORE,4.2,10,-10.0
2024-01-05,CANTERBURY,2,TYCOON DESHAUNA,ADAM HYERONIMUS,GAI WATERHOUSE & ADRIAN BOTT,5.0,10,40.0
2024-01-05,ESPERANCE,8,ELECTRIC ROSE,JESSICA GRAY,DARRYN PATEMAN,41.0,10,-10.0
2024-01-06,GOLD COAST,2,BALASTIER,JAMES ORMAN,TONY GOLLAN,4.2,10,-10.0
2024-01-08,CAIRNS,6,STORMY LEGEND,RYAN WIGGINS,STEPHEN MASSINGHAM,1.4,10,4.0
2024-01-11,PENOLA,9,SIR SWAY,HARRY GRACE,SUE & JASON JAENSCH,4.0,10,30.0
2024-01-17,SANDOWN,1,YAHOO BAR,BLAIKE MCDOUGALL,LIAM HOWLEY,2.3,10,13.0
2024-01-17,SANDOWN,5,ANOTHER WIL,JAMIE KAH,CIARON MAHER & DAVID EUSTACE,1.4,10,4.0
2024-01-21,SCONE,3,SWIFTWATER,CHELSEA HILLIER,RODNEY NORTHAM,5.5,10,45.0
2024-01-25,WANGARATTA,6,ANDOUILLETTE,THOMAS STOCKDALE,ANTHONY & SAM FREEDMAN,1.95,10,9.5
2024-01-26,DARWIN,4,BARRAGUNDA,JARROD TODD,GARRY LEFOE,9.0,10,80.0
2024-01-27,IPSWICH,1,HOT OR NOT,EMILY LANG,UNKOWN,3.7,10,-10.0
2024-01-27,SUNSHINE COAST,2,LEAD ME ON,MICHAEL RODD,UNKOWN,1.75,10,-10.0
2024-01-27,NEWCASTLE,2,UNUSUAL LEGACY,LEE MAGORRIAN,UNKOWN,1.55,10,5.5
2024-01-28,MOUNT BARKER,7,BEAU ZOOM,NATASHA FAITHFULL,REBECCA BAYLISS,7.0,10,-10.0
2024-02-02,SUNSHINE COAST,2,DIVINE GEM,CHRIS MEEHAN,BRENDAN JONES,2.3,10,-10.0
2024-02-02,MOONEE VALLEY,4,JENNIVAMOOSE,DECLAN BATES,ANDREW NOBLET,10.0,10,-10.0
2024-02-03,NEWCASTLE,8,PERENNIAL,AARON BULLOCK,UNKOWN,2.2,10,12.0
2024-02-05,DUBBO,7,COMPELLING TRUTH,JAKE PRACEY-HOLMES,MACK GRIFFITH,4.0,10,30.0
2024-02-09,COLAC,1,ROCKABOTTLE,ARRON LYNCH,UNKOWN,5.0,10,-10.0
2024-02-10,ALICE SPRINGS,4,GUNNERSIDE,SONJA LOGAN,UNKOWN,71.0,10,-10.0
2024-02-16,TAMWORTH,8,LAST FRONTIER,AARON BULLOCK,CODY MORGAN,1.8,10,8.0
2024-02-17,FLEMINGTON,7,RIFF ROCKET,CRAIG WILLIAMS,CHRIS WALLER,7.0,10,60.0
2024-02-19,ESPERANCE,2,UNCOMPROMISED,NATASHA FAITHFULL,HELEN HARDING,1.9,10,9.0
2024-02-19,CAIRNS,5,AVERAGE JANE,RYAN WIGGINS,GEORGIE HOLT,1.15,10,-10.0
2024-02-23,MACKAY,2,FIGHTING COMMANDO,RYAN WIGGINS,RICKY VALE,4.0,10,-10.0
2024-02-23,CANBERRA,2,SUTTON VELLA,DAMON BUDLER,GRATZ VELLA,5.0,10,-10.0
2024-02-23,CANBERRA,7,ENTER THE DRAGON,LOUIS BEUZELIN,GAI WATERHOUSE & ADRIAN BOTT,8.5,10,-10.0
2024-02-24,GOLD COAST,1,WASABI KICK,EMILY LANG,PETER ROBL,6.0,10,50.0
2024-02-28,SANDOWN,5,THE BIG KAHUNA,TOM MADDEN,PAUL PREUSKER,0.0,10,-10.0
2024-02-29,ARARAT,1,FOLLOWING SEA,AARON KURU,TONY & CALVIN MCEVOY,2.5,10,15.0
2024-02-29,KEMBLA GRANGE,6,SPANISH FOX,TOM SHERRY,MICHAEL FREEDMAN,7.0,10,-10.0
2024-03-02,GOLD COAST,7,FULLHAM,NOEL CALLOW,TOBY EDMONDS,1.65,10,-10.0
2024-03-02,RANDWICK,8,TROPICAL SQUALL,ADAM HYERONIMUS,GAI WATERHOUSE & ADRIAN BOTT,8.0,10,70.0
2024-03-03,SHA TIN,7,HELIOS EXPRESS,HUGH BOWMAN,JOHN SIZE,10.0,10,90.0
2024-03-04,YORK,2,HEYFIELD BOOMER,LAQDAR RAMOLY,MACK HALL,5.0,10,40.0
2024-03-06,BALAKLAVA,2,GOTTA GO GURU,JASON HOLDER,UNKOWN,2.3,10,-10.0
2024-03-07,KYNETON,1,WAR MACHINE,DECLAN BATES,MICHAEL MORONEY,6.0,10,50.0
2024-03-10,ALBANY,1,WARRALEA LASS,SHAUN MCGRUDDY,STEVE WOLFE,9.5,10,-10.0
2024-03-12,WARRNAMBOOL,5,STAR OF TAVISTOCK,DEAN YENDALL,SYMON WILDE,7.0,10,60.0
2024-03-12,GOULBURN,6,RIPPING MISSILE,LOUIS BEUZELIN,GAI WATERHOUSE & ADRIAN BOTT,34.0,10,-10.0
2024-03-15,TOWNSVILLE,6,YES DREAM,RYAN WIGGINS,MICHAEL LEE,5.5,10,-10.0
2024-03-16,CAULFIELD,8,MR BRIGHTSIDE,CRAIG WILLIAMS,"BEN, WILL & JD HAYES",2.0,10,-10.0
2024-03-17,ALICE SPRINGS,4,EXCUSES EXCUSES,STAN TSAIKOS,LISA WHITTLE,2.7,10,-10.0
2024-03-19,KYNETON,1,SIRVEKE,WILL GORDON,PATRICK PAYNE,2.6,10,16.0
2024-03-19,HAWKESBURY,2,DREAMS OF THUNDER,MITCHELL BELL,RODNEY BAILEY,4.6,10,-10.0
2024-03-21,IPSWICH,4,RUPERT'S HOUSE,JUSTIN HUXTABLE,JACK BRUCE,14.0,10,-10.0
2024-03-23,GOLD COAST,5,FULLHAM,NOEL CALLOW,TOBY EDMONDS,2.3,10,13.0
2024-03-23,KEMBLA GRANGE,7,BRIASA,MITCHELL BELL,"MICHAEL, WAYNE & JOHN HAWKES",3.7,10,27.0
2024-04-01,IPSWICH,4,SHE DELIVERS,ANGELA JONES,TONY GOLLAN,51.0,10,-10.0
2024-04-04,GOSFORD,3,MONEY TEAM,ZAC LLOYD,MICK PRICE & MICHAEL KENT (JNR),6.0,10,-10.0
